total_video_clicks,total_watch_time,total_forum_participation,total_coursepage_clicks,total_assignment_clicks,correct_answer_ratio,total_session_count,avg_login_interval_secs
0.0,0.0,0.0,0.02169146981222329,0.0,0.0,0.0,0.0
0.1837225008490442,0.0896226733068266,0.32457418790227877,0.17356800194364375,0.442131070542436,0.0,0.0,0.0
0.0,0.0,0.1728705995912286,0.1849292587061354,0.643329154342039,0.0,0.19772207765021124,0.9016435700316504
0.13002017389670256,0.5995750114333549,0.0,0.059318001100172185,0.0,0.0,0.0,0.0
0.04660334363084145,0.0,0.0,0.1078584302293363,0.13646802220532955,0.0,0.0,0.0
0.03582261418995658,0.0,0.0,0.08360147535319228,0.0,0.0,0.0,0.0
0.03582261418995658,0.0,0.0,0.03692569576827729,0.0,0.0,0.0,0.0
0.10165812177774484,0.08991457910760531,0.0,0.06828618172969715,0.0,0.0,0.11529092734716637,0.7158461705184485
0.069472110617505,0.01791858137820632,0.0,0.09654192598581778,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.02169146981222329,0.0,0.0,0.0,0.0
0.08994132557439496,0.0,0.0,0.15438077367963138,0.09199927535137324,0.0,0.19772207765021124,0.8752054045805266
0.20402667536643818,0.27021550680552403,0.0,0.13150009488768047,0.2524989653459768,0.0,0.19772207765021124,0.9048160617430805
0.08062071299227169,0.06287208310782158,0.0,0.1078584302293363,0.12374936485384275,0.7727602777784345,0.0,0.0
0.0,0.0,0.0,0.059318001100172185,0.0,0.0,0.0,0.0
0.2383584793343381,0.19353983519180668,0.0,0.23106778888422963,0.31749389455160487,0.0,0.11529092734716637,0.7693013787837627
0.0216608403935315,0.0,0.0,0.02169146981222329,0.0,0.0,0.0,0.0
0.03582261418995658,0.0,0.0,0.07630865803690741,0.0,0.0,0.0,0.0
0.05541119507604266,0.08991457910760531,0.0,0.1078584302293363,0.0,0.0,0.11529092734716637,0.7111163517975391
0.0216608403935315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.069472110617505,0.0,0.0,0.09654192598581778,0.04301347860963262,0.0,0.0,0.0
0.09799620894923482,0.0,0.0,0.13150009488768047,0.0,0.0,0.11529092734716637,0.7471377708646634
0.0,0.0,0.0,0.03692569576827729,0.0,0.0,0.0,0.0
